aula_id,oferta_id,ano,data_aula,materia,professor_id,turma,tema_aula,duracao_min,modalidade_aula
L0000075,O20210007,2021,2021-02-06,Português,P019,Extensivo A,Laboratório Português,90,online
L0000076,O20210007,2021,2021-03-05,Português,P019,Extensivo A,Revisão Português,50,Presencial
L0000077,O20210007,2021,2021-03-08,Português,P019,Extensivo A, Português,90,online
L0000078,O20210007,2021,2021-04-16,Português,P019,Extensivo A,Revisão Português,75,online
L0000079,O20210007,2021,2021-04-08,Português,P019,Extensivo A,Laboratório Português,75,Presencial
L0000080,O20210007,2021,2021-05-06,Português,P019,Extensivo A, Português,,online
L0000081,O20210007,2021,2021-05-25,Português,P019,Extensivo A,Revisão Português,90,online
L0000082,O20210007,2021,2021-06-06,Português,P019,Extensivo A,Aula teórica Português,50,Híbrido
L0000083,O20210007,2021,2021-06-19,Português,P019,Extensivo A,Correção de simulado Português,60,
L0000084,O20210008,2021,2021-02-03,Redação,P023,Extensivo A,Resolução de questões Redação,120,Online
L0000085,O20210008,2021,2021-02-23,Redação,P023,Extensivo A,Revisão Redação,90,Online
L0000086,O20210008,2021,2021-03-05,Redação,P023,Extensivo A,Resolução de questões Redação,75,Híbrido
L0000087,O20210008,2021,2021-03-21,Redação,P023,Extensivo A,Aula teórica Redação,90,Presencial
L0000088,O20210008,2021,2021-04-09,Redação,P023,Extensivo A,Revisão Redação,90,
L0000089,O20210008,2021,2021-04-02,Redação,P023,Extensivo A,Correção de simulado Redação,60,Híbrido
L0000090,O20210008,2021,08/05/2021,Redação,P023,Extensivo A,Aula teórica Redação,75,Híbrido
L0000091,O20210008,2021,2021-05-12,Redação,P023,Extensivo A,Revisão Redação,75,
L0000092,O20210008,2021,2021-06-24,Redação,P023,Extensivo A,Aula teórica Redação,120,
L0000093,O20210008,2021,2021-06-10,Redação,P023,Extensivo A,Resolução de questões Redação,120,Online
L0000094,O20210008,2021,2021-07-02,Redação,P023,Extensivo A,Revisão Redação,,Online
L0000095,O20210008,2021,2021-07-01,Redação,P023,Extensivo A, Redação,50,
L0000096,O20210008,2021,2021-08-02,Redação,P023,Extensivo A,Correção de simulado Redação,,online
L0000097,O20210009,2021,2021-02-01,Inglês,P025,Extensivo A,Laboratório Inglês,60,Presencial
L0000098,O20210009,2021,03/02/2021,Inglês,P025,Extensivo A, Inglês,,Online
L0000099,O20210009,2021,2021-03-08,Inglês,P025,Extensivo A,Correção de simulado Inglês,90,Online
L0000100,O20210009,2021,2021-03-15,Inglês,P025,Extensivo A,Laboratório Inglês,120,
L0000101,O20210009,2021,2021-04-13,Inglês,P025,Extensivo A,Resolução de questões Inglês,90,Online
L0000102,O20210009,2021,04-16-2021,Inglês,P025,Extensivo A, Inglês,,Presencial
L0000103,O20210009,2021,2021-05-18,Inglês,P025,Extensivo A,Revisão Inglês,120,Híbrido
L0000104,O20210009,2021,2021/05/09,Inglês,P025,Extensivo A,Laboratório Inglês,,Híbrido
L0000105,O20210009,2021,2021-06-08,Inglês,P025,Extensivo A,Aula teórica Inglês,,Online
L0000106,O20210009,2021,2021-06-23,Inglês,P025,Extensivo A, Inglês,50,online
L0000107,O20210009,2021,2021-07-23,Inglês,P025,Extensivo A,Laboratório Inglês,,
L0000108,O20210009,2021,2021-07-23,Inglês,P025,Extensivo A,Correção de simulado Inglês,120,Presencial
L0000109,O20210009,2021,2021-08-06,Inglês,P025,Extensivo A,Aula teórica Inglês,120,Presencial
L0000110,O20210010,2021,2021-02-05,Filosofia,P030,Extensivo A,Aula teórica Filosofia,120,online
L0000111,O20210010,2021,02-28-2021,Filosofia,P030,Extensivo A,Revisão Filosofia,,Presencial
L0000112,O20210010,2021,2021-03-05,Filosofia,P030,Extensivo A,Laboratório Filosofia,60,Online
L0000113,O20210010,2021,2021-03-08,Filosofia,P030,Extensivo A,Correção de simulado Filosofia,75,Presencial
L0000114,O20210010,2021,2021-04-20,Filosofia,P030,Extensivo A,Resolução de questões Filosofia,90,
L0000115,O20210010,2021,2021-04-19,Filosofia,P030,Extensivo A, Filosofia,75,online
L0000116,O20210010,2021,2021-05-02,Filosofia,P030,Extensivo A,Revisão Filosofia,50,Presencial
L0000117,O20210010,2021,2021-05-02,Filosofia,P030,Extensivo A, Filosofia,60,online
L0000118,O20210011,2021,2021-02-10,Sociologia,P034,Extensivo A,Aula teórica Sociologia,60,Presencial
L0000119,O20210011,2021,2021-02-14,Sociologia,P034,Extensivo A,Resolução de questões Sociologia,90,online
L0000120,O20210011,2021,2021-03-06,Sociologia,P034,Extensivo A,Aula teórica Sociologia,120,Online
L0000121,O20210011,2021,2021-03-17,Sociologia,P034,Extensivo A,Laboratório Sociologia,120,
L0000122,O20210011,2021,2021-04-28,Sociologia,P034,Extensivo A, Sociologia,120,
L0000123,O20210011,2021,2021-04-20,Sociologia,P034,Extensivo A,Revisão Sociologia,90,Híbrido
L0000124,O20210011,2021,2021-05-10,Sociologia,P034,Extensivo A, Sociologia,120,Presencial
L0000125,O20210011,2021,05-05-2021,Sociologia,P034,Extensivo A,Resolução de questões Sociologia,,Híbrido
L0000126,O20210012,2021,2021-02-14,MATEMÁTICA,P004,Extensivo B, Matemática,60,Híbrido
L0000127,O20210012,2021,2021-02-19,MATEMÁTICA,P004,Extensivo B,Laboratório Matemática,50,online
L0000128,O20210012,2021,2021-03-04,MATEMÁTICA,P004,Extensivo B,Aula teórica Matemática,90,
L0000129,O20210012,2021,2021/03/02,MATEMÁTICA,P004,Extensivo B, Matemática,50,Híbrido
L0000130,O20210012,2021,2021-04-10,MATEMÁTICA,P004,Extensivo B,Correção de simulado Matemática,,
L0000131,O20210012,2021,2021-04-06,MATEMÁTICA,P004,Extensivo B,Aula teórica Matemática,,
L0000132,O20210012,2021,2021-05-01,MATEMÁTICA,P004,Extensivo B,Aula teórica Matemática,60,online
L0000133,O20210012,2021,2021-05-19,MATEMÁTICA,P004,Extensivo B,Resolução de questões Matemática,,Híbrido
L0000134,O20210012,2021,2021-06-04,MATEMÁTICA,P004,Extensivo B,Laboratório Matemática,,Presencial
L0000135,O20210012,2021,2021-06-19,MATEMÁTICA,P004,Extensivo B,Laboratório Matemática,75,
L0000136,O20210012,2021,2021-07-03,MATEMÁTICA,P004,Extensivo B,Resolução de questões Matemática,50,Online
L0000137,O20210013,2021,2021-02-16,Física,P006,Extensivo B, Física,120,
L0000138,O20210013,2021,2021-02-28,Física,P006,Extensivo B,Resolução de questões Física,,
L0000139,O20210013,2021,2021-03-24,Física,P006,Extensivo B,Laboratório Física,120,Online
L0000140,O20210013,2021,2021-03-22,Física,P006,Extensivo B,Laboratório Física,60,Online
L0000141,O20210013,2021,2021-04-11,Física,P006,Extensivo B,Laboratório Física,75,
L0000142,O20210013,2021,2021-04-18,Física,P006,Extensivo B,Revisão Física,60,Híbrido
L0000143,O20210013,2021,2021-05-13,Física,P006,Extensivo B,Aula teórica Física,120,
L0000144,O20210013,2021,2021-05-08,Física,P006,Extensivo B,Aula teórica Física,75,Híbrido
L0000145,O20210014,2021,2021-02-09,Química,P008,Extensivo B, Química,,Online
L0000146,O20210014,2021,2021-02-06,Química,P008,Extensivo B,Revisão Química,50,Presencial
L0000147,O20210014,2021,2021-03-11,Química,P008,Extensivo B,Aula teórica Química,,Presencial
L0000148,O20210014,2021,2021-03-19,Química,P008,Extensivo B,Correção de simulado Química,60,Presencial
L0000149,O20210014,2021,2021-04-12,Química,P008,Extensivo B,Resolução de questões Química,120,
L0000150,O20210014,2021,2021-04-26,Química,P008,Extensivo B, Química,,online
L0000151,O20210014,2021,2021-05-17,Química,P008,Extensivo B,Aula teórica Química,120,Online
L0000152,O20210014,2021,2021-05-15,Química,P008,Extensivo B,Laboratório Química,90,
L0000153,O20210014,2021,2021-06-08,Química,P008,Extensivo B,Aula teórica Química,50,Presencial
L0000154,O20210014,2021,2021-06-12,Química,P008,Extensivo B, Química,75,online
L0000155,O20210015,2021,2021-02-10,Biologia,P010,Extensivo B,Aula teórica Biologia,50,Online
L0000156,O20210015,2021,2021-02-18,Biologia,P010,Extensivo B,Revisão Biologia,,Híbrido
L0000157,O20210015,2021,2021-03-09,Biologia,P010,Extensivo B,Aula teórica Biologia,90,
L0000158,O20210015,2021,2021-03-26,Biologia,P010,Extensivo B,Correção de simulado Biologia,120,Híbrido
L0000159,O20210015,2021,2021-04-03,Biologia,P010,Extensivo B, Biologia,75,online
L0000160,O20210015,2021,2021-04-02,Biologia,P010,Extensivo B,Revisão Biologia,75,online
L0000161,O20210015,2021,2021-05-17,Biologia,P010,Extensivo B,Resolução de questões Biologia,75,Híbrido
L0000162,O20210015,2021,2021-05-23,Biologia,P010,Extensivo B,Correção de simulado Biologia,90,Online
L0000163,O20210016,2021,2021-02-01,História,P015,Extensivo B,Correção de simulado História,120,online
L0000164,O20210016,2021,2021-02-16,História,P015,Extensivo B,Correção de simulado História,75,online
L0000165,O20210016,2021,2021-03-04,História,P015,Extensivo B,Laboratório História,90,
L0000166,O20210016,2021,2021-03-17,História,P015,Extensivo B, História,90,online
L0000167,O20210016,2021,2021-04-11,História,P015,Extensivo B,Revisão História,50,
L0000168,O20210016,2021,2021-04-20,História,P015,Extensivo B, História,75,
L0000169,O20210016,2021,2021-05-13,História,P015,Extensivo B,Aula teórica História,60,Presencial
L0000170,O20210016,2021,2021-05-21,História,P015,Extensivo B,Revisão História,50,online
L0000171,O20210016,2021,2021-06-01,História,P015,Extensivo B,Revisão História,90,online
L0000172,O20210016,2021,2021-06-16,História,P015,Extensivo B,Correção de simulado História,,
L0000173,O20210016,2021,2021-07-19,História,P015,Extensivo B,Laboratório História,90,
L0000174,O20210016,2021,2021-07-18,História,P015,Extensivo B,Aula teórica História,50,Online
L0000175,O20210016,2021,2021-08-01,História,P015,Extensivo B,Laboratório História,60,online
L0000176,O20210017,2021,2021-02-01,Geografia,P018,Extensivo B, Geografia,50,Online
L0000177,O20210017,2021,2021-02-06,Geografia,P018,Extensivo B,Aula teórica Geografia,120,Presencial
L0000178,O20210017,2021,2021-03-22,Geografia,P018,Extensivo B, Geografia,50,Presencial
L0000179,O20210017,2021,2021-03-06,Geografia,P018,Extensivo B,Revisão Geografia,50,online
L0000180,O20210017,2021,2021-04-27,Geografia,P018,Extensivo B,Laboratório Geografia,60,Híbrido
L0000181,O20210017,2021,2021-04-13,Geografia,P018,Extensivo B,Revisão Geografia,,
L0000182,O20210017,2021,2021-05-11,Geografia,P018,Extensivo B, Geografia,120,Presencial
L0000183,O20210017,2021,2021-05-19,Geografia,P018,Extensivo B, Geografia,120,online
L0000184,O20210017,2021,2021/06/22,Geografia,P018,Extensivo B,Resolução de questões Geografia,,Híbrido
L0000185,O20210017,2021,2021-06-17,Geografia,P018,Extensivo B,Correção de simulado Geografia,50,Presencial
L0000186,O20210017,2021,2021-07-12,Geografia,P018,Extensivo B,Laboratório Geografia,,Online
L0000187,O20210018,2021,2021-02-12,Português,P020,Extensivo B,Aula teórica Português,,Online
L0000188,O20210018,2021,2021-02-15,Português,P020,Extensivo B,Aula teórica Português,,Presencial
L0000189,O20210018,2021,2021-03-25,Português,P020,Extensivo B,Correção de simulado Português,50,Online
L0000190,O20210018,2021,2021-03-14,Português,P020,Extensivo B,Resolução de questões Português,,Online
L0000191,O20210018,2021,2021-04-03,Português,P020,Extensivo B, Português,,Online
L0000192,O20210018,2021,2021-04-08,Português,P020,Extensivo B,Resolução de questões Português,60,Online
L0000193,O20210018,2021,2021/05/03,Português,P020,Extensivo B,Laboratório Português,75,Online
L0000194,O20210018,2021,2021-05-10,Português,P020,Extensivo B,Aula teórica Português,120,
L0000195,O20210018,2021,2021-06-27,Português,P020,Extensivo B,Aula teórica Português,,online
L0000196,O20210018,2021,2021-06-02,Português,P020,Extensivo B,Revisão Português,,online
L0000197,O20210019,2021,2021-02-02,Redação,P022,Extensivo B, Redação,60,
L0000198,O20210019,2021,2021-02-22,Redação,P022,Extensivo B,Laboratório Redação,,online
L0000199,O20210019,2021,2021-03-12,Redação,P022,Extensivo B,Revisão Redação,90,Híbrido
L0000200,O20210019,2021,2021-03-10,Redação,P022,Extensivo B, Redação,90,Presencial
L0000201,O20210019,2021,2021-04-03,Redação,P022,Extensivo B, Redação,50,
L0000202,O20210019,2021,2021-04-04,Redação,P022,Extensivo B,Laboratório Redação,90,
L0000203,O20210019,2021,2021-05-01,Redação,P022,Extensivo B,Aula teórica Redação,60,Presencial
L0000204,O20210019,2021,2021-05-18,Redação,P022,Extensivo B,Resolução de questões Redação,120,
L0000205,O20210019,2021,2021-06-15,Redação,P022,Extensivo B,Laboratório Redação,,online
L0000206,O20210020,2021,2021-02-13,Inglês,P024,Extensivo B, Inglês,50,
L0000207,O20210020,2021,2021-02-01,Inglês,P024,Extensivo B, Inglês,60,
L0000208,O20210020,2021,2021-03-03,Inglês,P024,Extensivo B, Inglês,60,Presencial
L0000209,O20210020,2021,2021-03-19,Inglês,P024,Extensivo B,Revisão Inglês,,Presencial
L0000210,O20210020,2021,2021-04-12,Inglês,P024,Extensivo B,Revisão Inglês,,Presencial
L0000211,O20210020,2021,2021-04-20,Inglês,P024,Extensivo B,Resolução de questões Inglês,75,online
L0000212,O20210020,2021,2021-05-22,Inglês,P024,Extensivo B,Revisão Inglês,75,online
L0000213,O20210020,2021,2021-05-10,Inglês,P024,Extensivo B,Laboratório Inglês,75,Presencial
L0000214,O20210020,2021,2021-06-18,Inglês,P024,Extensivo B, Inglês,,Híbrido
L0000215,O20210020,2021,2021-06-22,Inglês,P024,Extensivo B,Aula teórica Inglês,120,online
L0000216,O20210020,2021,2021-07-03,Inglês,P024,Extensivo B,Correção de simulado Inglês,50,online
L0000217,O20210020,2021,2021-07-28,Inglês,P024,Extensivo B,Resolução de questões Inglês,50,Presencial
L0000218,O20210020,2021,2021-08-01,Inglês,P024,Extensivo B,Revisão Inglês,120,Online
L0000219,O20210021,2021,2021-02-04,Filosofia,P030,Extensivo B,Correção de simulado Filosofia,,Híbrido
L0000220,O20210021,2021,2021-02-09,Filosofia,P030,Extensivo B,Laboratório Filosofia,,online
L0000221,O20210021,2021,2021-03-12,Filosofia,P030,Extensivo B, Filosofia,50,online
L0000222,O20210021,2021,2021-03-08,Filosofia,P030,Extensivo B,Resolução de questões Filosofia,50,Online
L0000223,O20210021,2021,2021-04-15,Filosofia,P030,Extensivo B,Revisão Filosofia,120,online
L0000224,O20210021,2021,2021-04-18,Filosofia,P030,Extensivo B,Aula teórica Filosofia,90,Presencial
L0000225,O20210021,2021,2021-05-07,Filosofia,P030,Extensivo B,Aula teórica Filosofia,75,Híbrido
L0000226,O20210021,2021,2021-05-03,Filosofia,P030,Extensivo B,Revisão Filosofia,75,online
L0000227,O20210022,2021,2021-02-17,Sociologia,P031,Extensivo B,Resolução de questões Sociologia,50,Híbrido
L0000228,O20210022,2021,2021-02-20,Sociologia,P031,Extensivo B,Correção de simulado Sociologia,,Online
L0000229,O20210022,2021,2021-03-22,Sociologia,P031,Extensivo B, Sociologia,120,Presencial
L0000230,O20210022,2021,2021-03-15,Sociologia,P031,Extensivo B,Aula teórica Sociologia,90,Online
L0000231,O20210022,2021,2021-04-01,Sociologia,P031,Extensivo B,Aula teórica Sociologia,,online
L0000232,O20210022,2021,2021-04-05,Sociologia,P031,Extensivo B,Laboratório Sociologia,,Híbrido
L0000233,O20210022,2021,2021-05-15,Sociologia,P031,Extensivo B,Revisão Sociologia,120,online
L0000234,O20210022,2021,2021-05-19,Sociologia,P031,Extensivo B,Revisão Sociologia,120,online
L0000235,O20210022,2021,2021-06-01,Sociologia,P031,Extensivo B,Aula teórica Sociologia,60,
L0000236,O20210023,2021,2021-02-18,Matemática,P003,Intensivo ENEM,Correção de simulado Matemática,50,online
L0000237,O20210023,2021,2021-02-28,Matemática,P003,Intensivo ENEM,Correção de simulado Matemática,60,online
L0000238,O20210023,2021,2021-03-18,Matemática,P003,Intensivo ENEM,Resolução de questões Matemática,90,
L0000239,O20210023,2021,2021-03-07,Matemática,P003,Intensivo ENEM,Resolução de questões Matemática,75,Híbrido
L0000240,O20210023,2021,2021-04-01,Matemática,P003,Intensivo ENEM,Revisão Matemática,120,Híbrido
L0000241,O20210023,2021,2021-04-19,Matemática,P003,Intensivo ENEM,Revisão Matemática,50,Híbrido
L0000242,O20210023,2021,2021/05/07,Matemática,P003,Intensivo ENEM,Correção de simulado Matemática,120,online
L0000243,O20210023,2021,2021-05-27,Matemática,P003,Intensivo ENEM,Laboratório Matemática,,online
L0000244,O20210023,2021,2021-06-18,Matemática,P003,Intensivo ENEM,Revisão Matemática,120,online
L0000245,O20210024,2021,2021-02-14,Física,P007,Intensivo ENEM,Aula teórica Física,120,Online
L0000246,O20210024,2021,2021-02-26,Física,P007,Intensivo ENEM,Laboratório Física,120,online
L0000247,O20210024,2021,2021/03/03,Física,P007,Intensivo ENEM,Correção de simulado Física,120,Online
L0000248,O20210024,2021,2021-03-14,Física,P007,Intensivo ENEM, Física,60,Híbrido
L0000249,O20210024,2021,2021-04-24,Física,P007,Intensivo ENEM,Laboratório Física,,online
L0000250,O20210024,2021,2021-04-17,Física,P007,Intensivo ENEM,Resolução de questões Física,75,online
L0000251,O20210024,2021,2021-05-09,Física,P007,Intensivo ENEM,Revisão Física,75,online
L0000252,O20210024,2021,2021-05-24,Física,P007,Intensivo ENEM,Correção de simulado Física,75,Presencial
L0000253,O20210024,2021,2021-06-21,Física,P007,Intensivo ENEM,Laboratório Física,120,Híbrido
L0000254,O20210025,2021,2021-02-26,Química,P008,Intensivo ENEM,Resolução de questões Química,75,Online
L0000255,O20210025,2021,2021-02-07,Química,P008,Intensivo ENEM, Química,90,Presencial
L0000256,O20210025,2021,2021-03-11,Química,P008,Intensivo ENEM, Química,120,Presencial
L0000257,O20210025,2021,28/03/2021,Química,P008,Intensivo ENEM, Química,,Presencial
L0000258,O20210025,2021,2021-04-18,Química,P008,Intensivo ENEM, Química,,
L0000259,O20210025,2021,2021-04-07,Química,P008,Intensivo ENEM,Resolução de questões Química,90,online
L0000260,O20210025,2021,2021-05-26,Química,P008,Intensivo ENEM,Aula teórica Química,60,Híbrido
L0000261,O20210025,2021,2021-05-08,Química,P008,Intensivo ENEM,Resolução de questões Química,120,Presencial
L0000262,O20210025,2021,2021-06-09,Química,P008,Intensivo ENEM,Laboratório Química,60,Presencial
L0000263,O20210026,2021,2021-02-21,Biologia,P013,Intensivo ENEM, Biologia,60,Híbrido
L0000264,O20210026,2021,2021-02-26,Biologia,P013,Intensivo ENEM,Resolução de questões Biologia,60,
L0000265,O20210026,2021,2021-03-20,Biologia,P013,Intensivo ENEM,Revisão Biologia,,Online
L0000266,O20210026,2021,2021-03-06,Biologia,P013,Intensivo ENEM,Laboratório Biologia,90,Presencial
L0000267,O20210026,2021,2021-04-12,Biologia,P013,Intensivo ENEM,Revisão Biologia,60,Híbrido
L0000268,O20210026,2021,2021-04-27,Biologia,P013,Intensivo ENEM,Resolução de questões Biologia,,Presencial
L0000269,O20210026,2021,2021-05-08,Biologia,P013,Intensivo ENEM,Laboratório Biologia,,Online
L0000270,O20210026,2021,12/05/2021,Biologia,P013,Intensivo ENEM, Biologia,60,
L0000271,O20210026,2021,2021-06-16,Biologia,P013,Intensivo ENEM,Aula teórica Biologia,,online
L0000272,O20210026,2021,2021-06-24,Biologia,P013,Intensivo ENEM,Revisão Biologia,60,Híbrido
L0000273,O20210026,2021,2021-07-06,Biologia,P013,Intensivo ENEM,Correção de simulado Biologia,75,online
L0000274,O20210026,2021,2021-07-03,Biologia,P013,Intensivo ENEM, Biologia,90,
L0000275,O20210027,2021,2021-02-08,História,P015,Intensivo ENEM,Aula teórica História,50,Presencial
L0000276,O20210027,2021,2021-02-21,História,P015,Intensivo ENEM,Laboratório História,50,Híbrido
L0000277,O20210027,2021,2021-03-13,História,P015,Intensivo ENEM, História,,online
L0000278,O20210027,2021,2021-03-15,História,P015,Intensivo ENEM,Revisão História,60,Presencial
L0000279,O20210027,2021,2021-04-04,História,P015,Intensivo ENEM,Revisão História,120,
L0000280,O20210027,2021,25/04/2021,História,P015,Intensivo ENEM, História,75,Presencial
L0000281,O20210027,2021,2021-05-21,História,P015,Intensivo ENEM,Correção de simulado História,60,Presencial
L0000282,O20210027,2021,2021-05-18,História,P015,Intensivo ENEM,Correção de simulado História,,online
L0000283,O20210027,2021,27/06/2021,História,P015,Intensivo ENEM,Aula teórica História,90,Híbrido
L0000284,O20210028,2021,2021-02-27,Geografia,P016,Intensivo ENEM,Revisão Geografia,90,Híbrido
L0000285,O20210028,2021,2021-02-11,Geografia,P016,Intensivo ENEM,Laboratório Geografia,50,online
