matricula_id,aluno_id,oferta_id,ano,materia_declarada,data_matricula,bolsa_percentual,status_matricula,nota_diagnostico,origem_captacao
M0000098,A00008,O20250195,2025,Redação,2025-02-26,30,Concluída,49.9,
M0000099,A00009,O20210004,2021,Biologia,2021-02-02,20,Ativa,44.6,Google
M0000100,A00009,O20210010,2021,Filosofia,2021-03-08,15,Concluída,59.0,Instagram
M0000101,A00009,O20210002,2021,Física,2021/01/15,0,Ativa,80.4,Indicação
M0000102,A00009,O20210006,2021,GEOGRAFIA,22/02/2021,0,Concluída,68.5,Indicação
M0000103,A00009,O20210009,2021,Inglês,2021-04-22,20,Ativa,61.9,WhatsApp
M0000104,A00009,O20210001,2021,Matemática,2021-01-11,,Concluída,38.2,Google
M0000105,A00009,O20210007,2021,Português,2021-02-09,0,Concluída,69.1,Feira escolar
M0000106,A00009,O20210003,2021,Química,2021-03-24,30,,41.9,WhatsApp
M0000107,A00009,O20210008,2021,Redação,2021-02-10,15,Ativa,62.6,Indicação
M0000108,A00009,O20210011,2021,Sociologia,2021-02-27,10,Concluída,48.4,Instagram
M0000109,A00010,O20220059,2022,Biologia,2022-02-03,50,Concluída,70.9,WhatsApp
M0000110,A00010,O20220065,2022,Filosofia,2022-03-17,50,Concluída,83.6,Instagram
M0000111,A00010,O20220057,2022,Física,2022-04-22,0,Ativa,70.7,Google
M0000112,A00010,O20220061,2022,GEOGRAFIA,2022-04-04,50,Concluída,62.6,
M0000113,A00010,O20220060,2022,Historia,2022-01-11,0,Ativa,53.4,Google
M0000114,A00010,O20220064,2022,Inglês,2022-02-15,15,Concluída,51.4,Feira escolar
M0000115,A00010,O20220056,2022,Matemática,2022-03-27,50,Concluída,59.5,Google
M0000116,A00010,O20220062,2022,PORTUGUÊS,2022-03-18,0,Ativa,77.3,Feira escolar
M0000117,A00010,O20220058,2022,Química,2022-04-12,10,Concluída,68.0,Instagram
M0000118,A00010,O20220063,2022,Redação,2022-01-24,20,Concluída,74.5,Indicação
M0000119,A00010,O20220066,2022,Sociologia,2022-04-02,,Ativa,65.2,WhatsApp
M0000120,A00011,O20210004,2021,Biologia,2021-04-03,0,Ativa,73.1,Instagram
M0000121,A00011,O20210002,2021,Física,2021-01-16,20,Concluída,72.9,
M0000122,A00011,O20210009,2021,Ingles,2021-01-24,15,,46.7,
M0000123,A00011,O20210001,2021,Matemática,2021-04-16,10,Concluída,52.7,Indicação
M0000124,A00011,O20210007,2021,Português,2021-02-09,0,Concluída,58.2,WhatsApp
M0000125,A00011,O20210008,2021,Redação,2021-01-07,0,Concluída,58.0,Google
M0000126,A00011,O20210011,2021,Sociologia,2021-04-08,0,Cancelada,51.0,Indicação
M0000127,A00011,O20220054,2022,Filosofia,2022-02-25,20,Ativa,63.5,Instagram
M0000128,A00011,O20220050,2022,Geografia,2022-02-23,20,Concluída,46.5,WhatsApp
M0000129,A00011,O20220053,2022,Inglês,2022-04-11,20,concluida,69.0,Feira escolar
M0000130,A00011,O20220045,2022,Matemática,2022-02-27,0,Concluída,50.8,Google
M0000131,A00011,O20220051,2022,Português,2022-02-17,30,Concluída,59.9,Feira escolar
M0000132,A00011,O20220052,2022,Redação,2022-02-19,15,Ativa,59.5,
M0000133,A00011,O20220055,2022,Sociologia,2022-03-22,15,Ativa,50.9,Instagram
M0000134,A00012,O20230092,2023,Biologia,05/01/2023,0,Concluída,50.7,WhatsApp
M0000135,A00012,O20230098,2023,Filosofia,2023-01-06,,,58.2,WhatsApp
M0000136,A00012,O20230090,2023,Física,2023-02-16,,Concluída,73.1,Google
M0000137,A00012,O20230093,2023,História,2023-01-15,15,Concluída,57.0,WhatsApp
M0000138,A00012,O20230089,2023,Matemática,2023-04-06,30,Concluída,58.7,Indicação
M0000139,A00012,O20230095,2023,Português,2023-03-15,15,Trancada,49.0,Indicação
M0000140,A00012,O20230091,2023,Química,2023-01-21,20,Ativa,60.6,Google
M0000141,A00012,O20230096,2023,Redação,2023-04-19,50,Ativa,52.5,Indicação
M0000142,A00012,O20230099,2023,Sociologia,2023-01-08,15,Concluída,41.7,Feira escolar
M0000143,A00012,O20240136,2024,Biologia,2024-01-25,,Ativa,53.3,
M0000144,A00012,O20240142,2024,Filosofia,01-22-2024,,Concluída,70.2,Indicação
M0000145,A00012,O20240134,2024,Física,2024-02-22,15,Concluída,64.3,Indicação
M0000146,A00012,O20240137,2024,História,04-07-2024,25,Cancelada,34.3,Indicação
M0000147,A00012,O20240141,2024,Inglês,2024-03-28,0,Concluída,77.9,WhatsApp
M0000148,A00012,O20240133,2024,Matemática,2024-01-09,,Cancelada,91.6,WhatsApp
M0000149,A00012,O20240139,2024,Português,2024-03-27,0,Concluída,69.6,WhatsApp
M0000150,A00012,O20240140,2024,Redação,2024-01-18,50,Ativa,67.2,WhatsApp
M0000151,A00012,O20240143,2024,Sociologia,07/02/2024,50,Concluída,74.7,Feira escolar
M0000152,A00013,O20210015,2021,BIOLOGIA,08/03/2021,20,Concluída,52.6,Indicação
M0000153,A00013,O20210021,2021,FILOSOFIA,2021-02-12,,Concluída,86.4,Google
M0000154,A00013,O20210013,2021,Física,2021-04-12,30,Concluída,63.5,Instagram
M0000155,A00013,O20210017,2021,Geografia,2021-03-10,50,Ativa,50.4,Indicação
M0000156,A00013,O20210012,2021,Matemática,2021-04-11,50,Ativa,95.6,
M0000157,A00013,O20210018,2021,Português,2021-02-01,10,Concluída,42.1,Feira escolar
M0000158,A00013,O20210014,2021,Química,2021-04-27,50,Cancelada,68.7,Indicação
M0000159,A00013,O20210019,2021,Redação,2021-01-07,30,Ativa,51.9,Google
M0000160,A00013,O20210022,2021,SOCIOLOGIA,2021-04-17,25,Ativa,66.6,
M0000161,A00014,O20230125,2023,Biologia,2023-02-01,30,Ativa,83.8,Feira escolar
M0000162,A00014,O20230131,2023,Filosofia,2023-03-11,50,Concluída,41.5,Google
M0000163,A00014,O20230130,2023,Inglês,2023-04-21,15,Concluída,64.3,Google
M0000164,A00014,O20230122,2023,Matemática,2023-04-05,0,Concluída,58.4,Google
M0000165,A00014,O20230128,2023,Português,2023-02-01,10,concluida,80.1,
M0000166,A00014,O20230129,2023,Redação,2023-02-09,25,Concluída,51.4,Instagram
M0000167,A00014,O20230132,2023,Sociologia,2023-03-19,0,Ativa,68.9,Google
M0000168,A00015,O20220048,2022,Biologia,02-26-2022,30,Ativa,51.6,Feira escolar
M0000169,A00015,O20220054,2022,FILOSOFIA,2022-02-04,50,concluida,45.6,Google
M0000170,A00015,O20220050,2022,Geografia,2022-04-23,15,Concluída,49.4,
M0000171,A00015,O20220053,2022,Inglês,2022-04-15,,Ativa,54.3,WhatsApp
M0000172,A00015,O20220045,2022,Matemática,2022-02-03,15,Cancelada,61.7,Instagram
M0000173,A00015,O20220051,2022,Português,2022/03/02,30,Concluída,43.8,
M0000174,A00015,O20220052,2022,Redação,2022-01-26,0,Concluída,51.4,Google
M0000175,A00015,O20220055,2022,SOCIOLOGIA,2022-03-15,15,Concluída,43.7,Indicação
M0000176,A00016,O20220076,2022,Filosofia,2022-02-15,0,Concluída,82.6,Feira escolar
M0000177,A00016,O20220068,2022,Física,03-22-2022,0,Cancelada,63.5,Indicação
M0000178,A00016,O20220075,2022,Inglês,12/04/2022,15,Concluída,73.7,Google
M0000179,A00016,O20220067,2022,Matemática,01-17-2022,0,Trancada,84.9,
M0000180,A00016,O20220073,2022,Português,2022-01-06,,Ativa,69.6,Google
M0000181,A00016,O20220074,2022,Redação,2022-02-25,30,Concluída,73.8,WhatsApp
M0000182,A00016,O20220077,2022,Sociologia,01-01-2022,10,Concluída,65.6,WhatsApp
M0000183,A00016,O20230114,2023,Biologia,2023-02-28,25,Concluída,48.9,
M0000184,A00016,O20230120,2023,Filosofia,2023-01-01,0,Ativa,75.7,Indicação
M0000185,A00016,O20230116,2023,Geografia,2023-04-04,20,Trancada,45.9,
M0000186,A00016,O20230115,2023,História,2023-02-27,0,Concluída,74.1,
M0000187,A00016,O20230119,2023,Inglês,2023-01-01,,concluida,42.5,WhatsApp
M0000188,A00016,O20230111,2023,Matemática,2023-01-08,0,Concluída,50.9,
M0000189,A00016,O20230117,2023,Português,2023-04-22,0,Concluída,56.1,Feira escolar
M0000190,A00016,O20230113,2023,Química,2023-01-26,15,Concluída,81.9,Google
M0000191,A00016,O20230118,2023,Redacao,2023-01-21,,,53.3,Google
M0000192,A00017,O20250180,2025,Biologia,2025-03-09,,Concluída,56.0,Indicação
M0000193,A00017,O20250178,2025,Física,2025-01-18,0,Ativa,64.4,Indicação
M0000194,A00017,O20250182,2025,Geografia,2025-02-17,0,Ativa,41.6,WhatsApp
M0000195,A00017,O20250181,2025,História,2025-03-14,20,Ativa,63.6,Instagram
M0000196,A00017,O20250177,2025,Matemática,2025-02-28,10,Concluída,65.3,Feira escolar
M0000197,A00017,O20250183,2025,Português,2025-03-11,,Ativa,62.0,WhatsApp
M0000198,A00017,O20250179,2025,Química,2025-02-27,0,Concluída,30.5,Feira escolar
M0000199,A00017,O20250184,2025,Redação,2025-03-20,,Ativa,87.2,WhatsApp
M0000200,A00017,O20250187,2025,Sociologia,2025-03-12,15,Concluída,69.3,Instagram
M0000201,A00018,O20220048,2022,Biologia,2022-01-22,50,Concluída,46.6,Instagram
M0000202,A00018,O20220054,2022,Filosofia,2022-03-21,0,Concluída,62.0,Feira escolar
M0000203,A00018,O20220046,2022,Física,2022-01-26,0,Ativa,29.9,Feira escolar
M0000204,A00018,O20220050,2022,Geografia,2022-03-05,0,Ativa,55.7,Google
M0000205,A00018,O20220049,2022,História,2022-01-12,0,Concluída,71.7,
M0000206,A00018,O20220053,2022,Inglês,2022-04-15,15,,50.4,
M0000207,A00018,O20220045,2022,Matemática,2022-02-28,15,Concluída,41.6,Indicação
M0000208,A00018,O20220051,2022,Português,2022-03-21,0,Concluída,58.0,Instagram
M0000209,A00018,O20220047,2022,Química,2022-03-12,0,Concluída,41.5,Instagram
M0000210,A00018,O20220052,2022,Redação,02-25-2022,25,Concluída,64.3,Instagram
M0000211,A00018,O20220055,2022,Sociologia,2022-04-25,0,Concluída,38.3,Indicação
M0000212,A00019,O20230101,2023,Física,2023-01-25,30,Concluída,48.8,Indicação
M0000213,A00019,O20230105,2023,Geografia,2023-04-10,0,Concluída,54.2,Google
M0000214,A00019,O20230104,2023,História,2023-02-24,10,Concluída,51.1,Instagram
M0000215,A00019,O20230108,2023,Inglês,2023-02-19,,Concluída,47.3,
M0000216,A00019,O20230100,2023,Matemática,2023-04-16,25,,65.5,Instagram
M0000217,A00019,O20230106,2023,Português,2023-03-21,0,Ativa,52.3,Instagram
M0000218,A00019,O20230102,2023,Química,2023-02-20,0,Concluída,64.4,Feira escolar
M0000219,A00019,O20230107,2023,Redação,2023-03-14,15,Cancelada,68.9,Feira escolar
M0000220,A00019,O20230110,2023,SOCIOLOGIA,01-03-2023,15,Concluída,67.4,
M0000221,A00020,O20240147,2024,Biologia,2024-02-13,50,concluida,57.7,Feira escolar
M0000222,A00020,O20240153,2024,Filosofia,2024-01-18,,Concluída,65.5,WhatsApp
M0000223,A00020,O20240145,2024,FÍSICA,2024-04-27,25,Concluída,58.8,Feira escolar
M0000224,A00020,O20240149,2024,Geografia,2024-01-11,10,Ativa,57.3,Google
M0000225,A00020,O20240148,2024,História,2024-04-15,0,Concluída,53.0,Instagram
M0000226,A00020,O20240152,2024,Inglês,20/01/2024,30,Cancelada,43.8,Instagram
M0000227,A00020,O20240144,2024,Matemática,2024-02-15,0,,81.8,Instagram
M0000228,A00020,O20240150,2024,Português,2024-01-07,15,Ativa,58.7,Instagram
M0000229,A00020,O20240146,2024,Química,2024-01-27,10,Concluída,73.9,Google
M0000230,A00020,O20240151,2024,Redação,03-12-2024,10,Ativa,62.3,Google
M0000231,A00020,O20240154,2024,Sociologia,2024-01-05,10,Concluída,50.0,
M0000232,A00021,O20250193,2025,Geografia,2025/01/16,50,Concluída,53.9,Indicação
M0000233,A00021,O20250192,2025,História,2025-01-22,10,Concluída,77.0,WhatsApp
M0000234,A00021,O20250188,2025,MATEMÁTICA,2025-01-06,0,Concluída,61.1,
M0000235,A00021,O20250194,2025,Português,2025-02-24,15,Concluída,48.1,Google
M0000236,A00021,O20250190,2025,Química,2025-02-16,0,Concluída,62.9,Google
M0000237,A00021,O20250195,2025,Redação,2025-04-14,0,Concluída,72.6,Feira escolar
M0000238,A00021,O20250198,2025,SOCIOLOGIA,2025-01-05,0,Trancada,40.6,WhatsApp
M0000239,A00022,O20220070,2022,BIOLOGIA,02/02/2022,25,concluida,72.7,WhatsApp
M0000240,A00022,O20220076,2022,Filosofia,02-25-2022,10,Ativa,29.0,Instagram
M0000241,A00022,O20220068,2022,Física,2022/03/10,0,Concluída,60.8,
M0000242,A00022,O20220072,2022,Geografia,2022-01-04,25,Concluída,37.4,
M0000243,A00022,O20220071,2022,Historia,2022-03-01,25,Concluída,41.2,Google
M0000244,A00022,O20220075,2022,Inglês,2022-04-03,0,Concluída,52.8,Feira escolar
M0000245,A00022,O20220067,2022,Matemática,2022-03-18,0,,52.8,WhatsApp
M0000246,A00022,O20220073,2022,Português,2022-01-23,15,Concluída,52.1,Instagram
M0000247,A00022,O20220074,2022,Redação,2022-01-06,0,Ativa,46.2,Instagram
M0000248,A00022,O20220077,2022,Sociologia,2022-02-23,30,Concluída,46.9,Google
M0000249,A00022,O20230125,2023,Biologia,2023-01-18,10,Concluída,47.0,Google
M0000250,A00022,O20230131,2023,Filosofia,2023/02/03,25,concluida,48.2,Google
M0000251,A00022,O20230123,2023,Física,2023-04-07,0,Concluída,55.4,Indicação
M0000252,A00022,O20230127,2023,Geografia,2023-03-04,50,concluida,65.4,
M0000253,A00022,O20230126,2023,História,2023-01-12,10,Concluída,65.5,WhatsApp
M0000254,A00022,O20230130,2023,Inglês,2023-03-26,0,Concluída,27.5,Instagram
M0000255,A00022,O20230122,2023,Matemática,2023-01-25,0,Ativa,84.4,Google
M0000256,A00022,O20230128,2023,Português,02-26-2023,0,concluida,40.1,
M0000257,A00022,O20230124,2023,Química,04-12-2023,50,Concluída,62.6,Google
M0000258,A00022,O20230129,2023,Redação,2023-02-11,25,Ativa,61.2,
M0000259,A00022,O20230132,2023,Sociologia,2023-02-28,15,concluida,44.6,Instagram
M0000260,A00023,O20230131,2023,Filosofia,2023-04-11,0,Ativa,58.3,Google
M0000261,A00023,O20230123,2023,Física,2023-04-21,30,Ativa,79.8,
M0000262,A00023,O20230127,2023,Geografia,2023-01-04,50,Ativa,41.5,Instagram
M0000263,A00023,O20230130,2023,Inglês,2023-02-02,0,Concluída,55.8,Indicação
M0000264,A00023,O20230122,2023,Matemática,2023-03-15,10,Trancada,44.5,Feira escolar
M0000265,A00023,O20230128,2023,Português,2023-02-18,0,Ativa,49.3,Google
M0000266,A00023,O20230129,2023,Redação,2023-01-16,25,Concluída,43.3,Feira escolar
M0000267,A00023,O20230132,2023,Sociologia,2023-04-12,0,Concluída,60.5,Indicação
M0000268,A00023,O20240153,2024,Filosofia,15/01/2024,0,Concluída,59.7,
M0000269,A00023,O20240145,2024,Física,2024-01-12,0,Concluída,56.3,Instagram
M0000270,A00023,O20240149,2024,Geografia,2024-01-17,30,Concluída,41.7,Instagram
M0000271,A00023,O20240144,2024,Matemática,2024-02-21,10,Concluída,81.1,
M0000272,A00023,O20240150,2024,Português,2024-01-24,15,Concluída,76.4,Feira escolar
M0000273,A00023,O20240146,2024,Quimica,2024/02/07,10,Concluída,28.9,Instagram
M0000274,A00023,O20240151,2024,Redação,2024-03-01,0,Concluída,36.3,
M0000275,A00023,O20240154,2024,Sociologia,2024-01-28,0,Concluída,66.6,Feira escolar
M0000276,A00024,O20210004,2021,Biologia,2021-03-19,0,Ativa,57.3,
M0000277,A00024,O20210002,2021,Física,2021-04-15,10,Ativa,71.0,Instagram
M0000278,A00024,O20210009,2021,Inglês,2021-04-03,20,concluida,86.4,WhatsApp
M0000279,A00024,O20210001,2021,Matemática,2021-04-06,,Trancada,61.6,Instagram
M0000280,A00024,O20210007,2021,Português,01/03/2021,50,Concluída,59.0,Google
M0000281,A00024,O20210003,2021,QUÍMICA,2021-03-04,25,Concluída,45.2,Google
M0000282,A00024,O20210008,2021,Redação,2021-01-26,0,Concluída,61.2,WhatsApp
M0000283,A00024,O20220059,2022,Biologia,2022-04-09,0,Concluída,50.8,Indicação
M0000284,A00024,O20220065,2022,Filosofia,2022-04-04,0,Ativa,54.8,Feira escolar
M0000285,A00024,O20220057,2022,Física,2022-01-16,25,Concluída,52.8,WhatsApp
M0000286,A00024,O20220061,2022,Geografia,2022-01-20,50,Concluída,52.3,WhatsApp
M0000287,A00024,O20220060,2022,História,2022-04-01,30,Ativa,70.9,Feira escolar
M0000288,A00024,O20220064,2022,Inglês,2022-03-15,20,Concluída,55.6,Feira escolar
M0000289,A00024,O20220056,2022,Matemática,2022-02-20,10,Concluída,72.9,
M0000290,A00024,O20220062,2022,Português,2022-01-23,15,concluida,62.6,Google
M0000291,A00024,O20220058,2022,Quimica,2022-04-14,0,Ativa,53.3,Instagram
M0000292,A00024,O20220063,2022,Redação,2022-02-05,0,Concluída,60.7,Feira escolar
M0000293,A00024,O20220066,2022,Sociologia,2022-02-18,0,Concluída,45.1,Google
M0000294,A00025,O20210021,2021,Filosofia,2021-02-25,10,concluida,81.8,
M0000295,A00025,O20210013,2021,Física,2021-04-21,20,Trancada,51.5,Indicação
M0000296,A00025,O20210017,2021,Geografia,2021-02-19,10,Concluída,35.6,WhatsApp
M0000297,A00025,O20210016,2021,História,2021-03-09,25,Concluída,50.2,Instagram
M0000298,A00025,O20210020,2021,Inglês,2021-04-25,0,Trancada,38.2,Indicação
M0000299,A00025,O20210012,2021,Matemática,2021/03/05,50,Concluída,63.6,Indicação
M0000300,A00025,O20210018,2021,Português,2021-02-10,0,Trancada,42.1,Instagram
M0000301,A00025,O20210019,2021,Redação,2021-03-26,15,Concluída,53.7,Indicação
M0000302,A00025,O20220054,2022,Filosofia,2022-02-01,0,Cancelada,61.3,Indicação
M0000303,A00025,O20220046,2022,Física,25/04/2022,0,Ativa,41.5,Indicação
M0000304,A00025,O20220050,2022,Geografia,2022-04-26,0,Ativa,73.6,
M0000305,A00025,O20220049,2022,História,2022-03-24,15,Concluída,61.6,Feira escolar
M0000306,A00025,O20220053,2022,Inglês,2022-03-26,,Ativa,57.7,WhatsApp
M0000307,A00025,O20220045,2022,Mat.,2022-02-11,50,Concluída,71.0,Feira escolar
M0000308,A00025,O20220051,2022,Português,2022-01-09,0,,63.0,Google
M0000309,A00025,O20220052,2022,Redação,2022-02-05,30,Concluída,65.2,Indicação
M0000310,A00026,O20210026,2021,Biologia,2021-03-03,10,Cancelada,44.4,Feira escolar
M0000311,A00026,O20210032,2021,Filosofia,2021-02-17,30,,41.3,Instagram
M0000312,A00026,O20210024,2021,Física,2021-02-12,15,Concluída,77.4,
M0000313,A00026,O20210027,2021,História,2021-04-07,25,Concluída,61.3,Instagram
M0000314,A00026,O20210031,2021,Inglês,2021-04-08,30,Ativa,38.4,Google
M0000315,A00026,O20210023,2021,Matemática,01-11-2021,0,Cancelada,58.4,WhatsApp
