resultado_id,simulado_id,aluno_id,ano,materia,status_realizacao,nota,nota_valida,nota_pct,acertos,tempo_finalizacao_min,inicio_simulado,dispositivo,tentativas,unidade_aplicacao
R00000022,S20210001,A00137,2021,Matemática,Finalizado,84.7,84.7,84.7,49,124.0,2021-09-13 11:00:00,Desktop,1,Centro
R00000023,S20210001,A00073,2021,Matemática,Finalizado,30.8,30.8,30.8,19,276.0,2021-07-11 18:45:00,Não informado,,Aldeota
R00000024,S20210001,A00120,2021,Matemática,Finalizado,30.9,30.9,30.9,17,165.0,2021-11-23 16:30:00,Não informado,1,Centro
R00000025,S20210001,A00346,2021,Matemática,Finalizado,65.3,65.3,65.3,39,273.0,2021-04-01 10:00:00,Não informado,2,Online
R00000026,S20210001,A00563,2021,Matemática,Finalizado,40.7,40.7,40.7,21,189.0,2021-11-21 18:00:00,Desktop,,Aldeota
R00000027,S20210001,A00798,2021,Matemática,Ausente,,,,,,2021-07-06 14:30:00,Celular,3,Online
R00000028,S20210001,A00354,2021,Matemática,Finalizado,42.0,42.0,42.0,25,181.0,2021-06-08 10:45:00,Desktop,1,Não informado
R00000029,S20210001,A00742,2021,Matemática,Finalizado,72.5,72.5,72.5,44,213.0,2021-07-27 17:15:00,Não informado,3,Online
R00000030,S20210001,A00009,2021,Matemática,Não informado,52.7,52.7,52.7,31,248.0,2021-10-07 09:15:00,Tablet,1,Centro
R00000031,S20210001,A00764,2021,Matemática,Finalizado,75.2,75.2,75.2,47,242.0,2021-06-19 18:00:00,Papel,1,Sul
R00000032,S20210001,A00085,2021,Matemática,Finalizado,85.1,85.1,85.1,53,202.0,2021-09-07 08:45:00,Desktop,1,Sul
R00000033,S20210001,A00368,2021,Matemática,Finalizado,53.9,53.9,53.900000000000006,34,260.0,2021-06-08 00:00:00,Papel,3,Não informado
R00000034,S20210001,A00487,2021,Matemática,Finalizado,70.0,70.0,70.0,41,258.0,2021-11-10 13:15:00,Tablet,,Aldeota
R00000035,S20210001,A00621,2021,Matemática,Finalizado,34.2,34.2,34.2,19,234.0,2021-06-25 13:45:00,Não informado,1,Online
R00000036,S20210001,A00502,2021,Matemática,Finalizado,42.4,42.4,42.4,26,261.0,2021-09-12 10:30:00,Desktop,2,Online
R00000037,S20210001,A00481,2021,Matemática,Finalizado,51.7,51.7,51.7,29,287.0,2021-07-07 13:00:00,Celular,2,Online
R00000038,S20210001,A00275,2021,Matemática,Finalizado,66.7,66.7,66.7,40,199.0,2021-04-07 19:30:00,Papel,1,Sul
R00000039,S20210001,A00458,2021,Matemática,Incompleto,71.6,71.6,71.6,41,248.0,2021-06-25 00:00:00,Tablet,1,Aldeota
R00000040,S20210001,A00004,2021,Matemática,Finalizado,42.5,42.5,42.5,27,102.0,2021-07-07 18:45:00,Celular,1,Online
R00000041,S20210001,A00108,2021,Matemática,Finalizado,46.5,46.5,46.5,32,73.0,2021-04-20 08:15:00,Tablet,3,Sul
R00000042,S20210001,A00791,2021,Matemática,Finalizado,55.2,55.2,55.2,32,236.0,2021-06-02 12:00:00,Celular,,Centro
R00000043,S20210001,A00410,2021,Matemática,Finalizado,21.3,21.3,21.3,12,117.0,2021-09-04 16:00:00,Papel,1,Sul
R00000044,S20210001,A00636,2021,Matemática,Finalizado,66.5,66.5,66.5,41,174.0,2021-10-08 15:45:00,Não informado,1,Não informado
R00000045,S20210001,A00550,2021,Matemática,Finalizado,25.8,25.8,25.8,15,207.0,2021-04-09 14:30:00,Papel,3,Online
R00000046,S20210001,A00648,2021,Matemática,Finalizado,71.8,71.8,71.8,42,270.0,2021-09-15 18:15:00,Tablet,1,Online
R00000047,S20210001,A00199,2021,Matemática,Finalizado,45.9,45.9,45.9,26,189.0,2021-09-03 14:00:00,Papel,1,Sul
R00000048,S20210001,A00237,2021,Matemática,Finalizado,58.5,58.5,58.5,37,247.0,2021-08-03 08:00:00,Papel,,Sul
R00000049,S20210001,A00347,2021,Matemática,Finalizado,48.8,48.8,48.8,30,334.0,2021-05-03 12:30:00,Desktop,1,Online
R00000050,S20210001,A00288,2021,Matemática,Finalizado,76.1,76.1,76.1,42,222.0,2021-11-21 08:45:00,Papel,,Aldeota
R00000051,S20210001,A00323,2021,Matemática,Finalizado,74.4,74.4,74.4,44,209.0,2021-06-01 15:30:00,Não informado,3,Online
R00000052,S20210001,A00024,2021,Matemática,Finalizado,54.7,54.7,54.7,34,179.0,2021-04-24 15:45:00,Tablet,2,Sul
R00000053,S20210001,A00559,2021,Matemática,Finalizado,80.6,80.6,80.6,48,252.0,2021-08-07 08:00:00,Desktop,1,Aldeota
R00000054,S20210001,A00507,2021,Matemática,Ausente,,,,,,2021-04-01 16:00:00,Celular,1,Não informado
R00000055,S20210001,A00313,2021,Matemática,Finalizado,28.8,28.8,28.800000000000004,19,100.0,2021-08-22 15:00:00,Desktop,1,Sul
R00000056,S20210001,A00721,2021,Matemática,Finalizado,66.5,66.5,66.5,43,256.0,2021-11-05 13:00:00,Tablet,1,Online
R00000057,S20210001,A00796,2021,Matemática,Finalizado,44.2,44.2,44.2,25,179.0,2021-06-09 17:30:00,Não informado,1,Sul
R00000058,S20210001,A00776,2021,Matemática,Finalizado,55.2,55.2,55.2,35,194.0,2021-11-17 12:15:00,Desktop,2,Sul
R00000059,S20210001,A00140,2021,Matemática,Finalizado,59.1,59.1,59.099999999999994,34,200.0,2021-08-24 14:30:00,Desktop,1,Online
R00000060,S20210001,A00499,2021,Matemática,Finalizado,64.6,64.6,64.6,38,269.0,2021-08-05 11:30:00,Tablet,,Online
R00000061,S20210001,A00057,2021,Matemática,Finalizado,52.0,52.0,52.0,30,181.0,2021-09-09 00:00:00,Celular,1,Sul
R00000062,S20210001,A00150,2021,Matemática,Finalizado,101.8,,,60,221.0,2021-09-28 13:30:00,Tablet,1,Centro
R00000063,S20210001,A00586,2021,Matemática,Finalizado,67.8,67.8,67.8,43,197.0,2021-05-21 15:30:00,Papel,,Aldeota
R00000064,S20210001,A00531,2021,Matemática,Finalizado,23.4,23.4,23.4,13,198.0,2021-07-20 09:00:00,Celular,,Aldeota
R00000065,S20210001,A00050,2021,Matemática,Finalizado,74.4,74.4,74.4,45,219.0,2021-05-26 09:15:00,Celular,2,Não informado
R00000066,S20210001,A00591,2021,Matemática,Finalizado,71.4,71.4,71.4,44,250.0,2021-07-17 18:30:00,Celular,1,Online
R00000067,S20210001,A00582,2021,Matemática,Finalizado,56.1,56.1,56.10000000000001,35,264.0,2021-06-20 14:45:00,Celular,,Centro
R00000068,S20210001,A00340,2021,Matemática,Finalizado,89.0,89.0,89.0,53,159.0,2021-05-04 09:15:00,Papel,1,Aldeota
R00000069,S20210001,A00774,2021,Matemática,Finalizado,58.0,58.0,57.99999999999999,36,215.0,2021-06-12 17:15:00,Desktop,2,Online
R00000070,S20210001,A00625,2021,Matemática,Finalizado,67.8,67.8,67.8,43,205.0,2021-09-27 10:00:00,Celular,3,Online
R00000071,S20210001,A00494,2021,Matemática,Ausente,,,,,,2021-08-21 17:45:00,Desktop,1,Online
R00000072,S20210001,A00672,2021,Matemática,Incompleto,58.8,58.8,58.8,36,227.0,2021-09-05 18:45:00,Não informado,3,Aldeota
R00000073,S20210001,A00103,2021,Matemática,Finalizado,79.6,79.6,79.6,47,244.0,2021-06-28 12:00:00,Não informado,,Não informado
R00000074,S20210001,A00296,2021,Matemática,Ausente,,,,,,2021-11-23 00:00:00,Celular,1,Não informado
R00000075,S20210001,A00102,2021,Matemática,Finalizado,60.9,60.9,60.9,35,184.0,2021-07-16 08:15:00,Desktop,1,Aldeota
R00000076,S20210001,A00793,2021,Matemática,Finalizado,66.6,66.6,66.6,41,210.0,2021-05-04 11:15:00,Desktop,3,Online
R00000077,S20210001,A00306,2021,Matemática,Ausente,,,,,,2021-07-13 17:30:00,Não informado,1,Não informado
R00000078,S20210001,A00241,2021,Matemática,Finalizado,28.2,28.2,28.199999999999996,17,210.0,2021-09-09 17:45:00,Celular,3,Aldeota
R00000079,S20210001,A00750,2021,Matemática,Finalizado,72.2,72.2,72.2,40,343.0,2021-11-17 00:00:00,Papel,1,Aldeota
R00000080,S20210001,A00072,2021,Matemática,Finalizado,76.1,76.1,76.1,44,238.0,2021-08-05 16:00:00,Desktop,1,Aldeota
R00000081,S20210001,A00132,2021,Matemática,Ausente,,,,,,2021-09-21 19:30:00,Celular,1,Online
R00000082,S20210001,A00365,2021,Matemática,Finalizado,53.7,53.7,53.7,33,182.0,2021-08-14 19:15:00,Desktop,1,Sul
R00000083,S20210001,A00262,2021,Matemática,Finalizado,53.3,53.3,53.29999999999999,30,190.0,2021-11-14 08:15:00,Celular,1,Online
R00000084,S20210001,A00363,2021,Matemática,Finalizado,20.0,20.0,20.0,10,174.0,2021-06-02 12:15:00,Papel,2,Sul
R00000085,S20210001,A00025,2021,Matemática,Finalizado,65.0,65.0,65.0,41,218.0,2021-04-19 14:15:00,Não informado,1,Online
R00000086,S20210001,A00560,2021,Matemática,Ausente,,,,,,2021-05-27 18:45:00,Tablet,2,Aldeota
R00000087,S20210001,A00176,2021,Matemática,Finalizado,90.0,90.0,90.0,55,143.0,2021-05-15 13:00:00,Papel,1,Sul
R00000088,S20210001,A00372,2021,Matemática,Finalizado,72.5,72.5,72.5,41,194.0,2021-04-15 12:45:00,Desktop,3,Não informado
R00000089,S20210001,A00554,2021,Matemática,Incompleto,70.5,70.5,70.5,45,267.0,2021-04-18 08:30:00,Não informado,2,Online
R00000090,S20210001,A00409,2021,Matemática,Finalizado,91.3,91.3,91.3,52,207.0,2021-09-15 09:45:00,Tablet,1,Centro
R00000091,S20210001,A00785,2021,Matemática,Finalizado,66.5,66.5,66.5,38,217.0,2021-11-15 14:15:00,Desktop,3,Online
R00000092,S20210001,A00547,2021,Matemática,Finalizado,92.8,92.8,92.8,53,275.0,2021-10-09 11:15:00,Desktop,1,Não informado
R00000093,S20210001,A00167,2021,Matemática,Finalizado,60.1,60.1,60.099999999999994,35,194.0,2021-06-17 19:15:00,Tablet,3,Online
R00000094,S20210001,A00355,2021,Matemática,Finalizado,44.8,44.8,44.8,28,277.0,2021-09-16 15:30:00,Desktop,1,Centro
R00000095,S20210001,A00280,2021,Matemática,Finalizado,62.1,62.1,62.1,32,212.0,2021-05-23 00:00:00,Tablet,3,Não informado
R00000096,S20210001,A00144,2021,Matemática,Finalizado,82.5,82.5,82.5,51,107.0,2021-10-08 10:45:00,Desktop,3,Online
R00000097,S20210001,A00191,2021,Matemática,Finalizado,71.9,71.9,71.9,44,156.0,2021-06-17 11:15:00,Tablet,3,Online
R00000098,S20210001,A00618,2021,Matemática,Finalizado,54.8,54.8,54.79999999999999,30,243.0,2021-04-11 10:00:00,Desktop,2,Online
R00000099,S20210001,A00542,2021,Matemática,Finalizado,84.5,84.5,84.5,50,311.0,2021-08-22 12:00:00,Papel,,Sul
R00000100,S20210001,A00754,2021,Matemática,Finalizado,69.5,69.5,69.5,43,211.0,2021-05-23 13:30:00,Desktop,3,Aldeota
R00000101,S20210001,A00443,2021,Matemática,Finalizado,39.0,39.0,39.0,22,237.0,2021-09-04 15:30:00,Papel,1,Centro
R00000102,S20210001,A00605,2021,Matemática,Finalizado,35.4,35.4,35.4,22,202.0,2021-07-25 13:15:00,Não informado,1,Centro
R00000103,S20210001,A00413,2021,Matemática,Finalizado,35.4,35.4,35.4,19,246.0,2021-05-19 14:45:00,Celular,1,Sul
R00000104,S20210001,A00755,2021,Matemática,Finalizado,57.6,57.6,57.60000000000001,34,286.0,2021-04-21 09:30:00,Celular,3,Online
R00000105,S20210001,A00445,2021,Matemática,Finalizado,73.7,73.7,73.7,41,162.0,2021-08-20 14:30:00,Celular,1,Online
R00000106,S20210001,A00289,2021,Matemática,Ausente,,,,,,2021-10-21 16:45:00,Tablet,,Não informado
R00000107,S20210001,A00328,2021,Matemática,Finalizado,58.3,58.3,58.3,34,324.0,2021-05-02 11:00:00,Papel,1,Não informado
R00000108,S20210001,A00382,2021,Matemática,Finalizado,65.8,65.8,65.8,42,188.0,2021-07-15 13:00:00,Não informado,3,Sul
R00000109,S20210001,A00343,2021,Matemática,Finalizado,72.2,72.2,72.2,43,195.0,2021-06-06 10:45:00,Desktop,1,Online
R00000110,S20210001,A00067,2021,Matemática,Finalizado,56.7,56.7,56.7,31,200.0,2021-07-20 11:15:00,Tablet,2,Sul
R00000111,S20210001,A00698,2021,Matemática,Finalizado,57.3,57.3,57.3,34,169.0,2021-09-24 10:15:00,Tablet,1,Online
R00000112,S20210001,A00211,2021,Matemática,Finalizado,65.9,65.9,65.9,39,233.0,2021-04-07 15:45:00,Não informado,3,Online
R00000113,S20210001,A00783,2021,Matemática,Ausente,,,,,,2021-08-19 17:15:00,Celular,1,Online
R00000114,S20210001,A00141,2021,Matemática,Finalizado,60.4,60.4,60.4,36,177.0,2021-10-12 11:15:00,Não informado,,Online
R00000115,S20210001,A00353,2021,Matemática,Finalizado,59.9,59.9,59.9,34,169.0,2021-11-14 11:45:00,Celular,2,Online
R00000116,S20210001,A00013,2021,Matemática,Finalizado,44.1,44.1,44.1,25,100.0,2021-11-02 17:45:00,Papel,1,Centro
R00000117,S20210001,A00717,2021,Matemática,Finalizado,31.3,31.3,31.3,18,217.0,2021-06-02 13:00:00,Não informado,1,Centro
R00000118,S20210001,A00689,2021,Matemática,Finalizado,43.4,43.4,43.4,28,320.0,2021-11-27 15:45:00,Papel,3,Online
R00000119,S20210001,A00392,2021,Matemática,Finalizado,63.8,63.8,63.800000000000004,38,213.0,2021-07-03 08:15:00,Desktop,3,Aldeota
R00000120,S20210001,A00471,2021,Matemática,Ausente,,,,,,2021-09-16 00:00:00,Papel,,Online
R00000121,S20210001,A00174,2021,Matemática,Não informado,57.2,57.2,57.2,35,219.0,2021-10-07 13:45:00,Tablet,1,Aldeota
R00000122,S20210001,A00248,2021,Matemática,Incompleto,56.9,56.9,56.89999999999999,32,195.0,2021-10-20 12:00:00,Papel,1,Sul
R00000123,S20210001,A00307,2021,Matemática,Incompleto,62.2,62.2,62.2,39,173.0,2021-10-14 00:00:00,Desktop,1,Sul
R00000124,S20210001,A00524,2021,Matemática,Finalizado,50.5,50.5,50.5,34,223.0,2021-05-26 12:30:00,Não informado,1,Aldeota
R00000125,S20210001,A00595,2021,Matemática,Finalizado,68.3,68.3,68.3,41,271.0,2021-08-01 16:45:00,Papel,1,Online
R00000126,S20210001,A00652,2021,Matemática,Finalizado,69.8,69.8,69.8,44,179.0,2021-05-11 14:45:00,Celular,3,Aldeota
R00000127,S20210001,A00356,2021,Matemática,Incompleto,82.1,82.1,82.1,46,239.0,2021-11-05 10:15:00,Não informado,3,Não informado
R00000128,S20210001,A00229,2021,Matemática,Finalizado,40.6,40.6,40.6,27,201.0,2021-10-06 13:30:00,Tablet,1,Sul
R00000129,S20210001,A00053,2021,Matemática,Finalizado,65.0,65.0,65.0,38,211.0,2021-04-13 08:00:00,Desktop,2,Online
R00000130,S20210001,A00526,2021,Matemática,Finalizado,67.5,67.5,67.5,41,170.0,2021-09-09 09:30:00,Desktop,3,Centro
R00000131,S20210001,A00578,2021,Matemática,Ausente,,,,,,2021-07-10 12:30:00,Tablet,1,Aldeota
R00000132,S20210001,A00720,2021,Matemática,Finalizado,79.5,79.5,79.5,46,112.0,2021-07-08 09:45:00,Não informado,,Sul
R00000133,S20210001,A00268,2021,Matemática,Ausente,,,,,,2021-09-13 11:45:00,Tablet,1,Centro
R00000134,S20210001,A00046,2021,Matemática,Finalizado,71.8,71.8,71.8,45,274.0,2021-06-01 08:00:00,Papel,1,Online
R00000135,S20210001,A00338,2021,Matemática,Finalizado,58.4,58.4,58.4,38,249.0,2021-04-09 15:00:00,Não informado,1,Centro
R00000136,S20210001,A00212,2021,Matemática,Finalizado,58.6,58.6,58.599999999999994,32,184.0,2021-07-20 09:00:00,Tablet,3,Aldeota
R00000137,S20210001,A00333,2021,Matemática,Finalizado,70.9,70.9,70.9,46,264.0,2021-07-13 14:00:00,Desktop,1,Centro
R00000138,S20210001,A00196,2021,Matemática,Incompleto,39.7,39.7,39.7,27,231.0,2021-07-04 19:45:00,Desktop,1,Não informado
R00000139,S20210002,A00343,2021,Matemática,Finalizado,93.5,93.5,93.5,44,155.0,2021-06-16 13:45:00,Celular,3,Online
R00000140,S20210002,A00471,2021,Matemática,Finalizado,48.8,48.8,48.8,23,182.0,2021-08-10 13:15:00,Tablet,2,Aldeota
R00000141,S20210002,A00376,2021,Matemática,Finalizado,52.5,52.5,52.5,23,183.0,2021-11-09 16:30:00,Tablet,1,Online
R00000142,S20210002,A00520,2021,Matemática,Finalizado,61.0,61.0,61.0,27,277.0,2021-07-13 00:00:00,Tablet,,Centro
R00000143,S20210002,A00534,2021,Matemática,Finalizado,51.5,51.5,51.5,22,256.0,2021-07-20 12:15:00,Celular,3,Não informado
R00000144,S20210002,A00237,2021,Matemática,Finalizado,80.1,80.1,80.1,37,255.0,2021-05-08 10:30:00,Celular,1,Não informado
R00000145,S20210002,A00268,2021,Matemática,Finalizado,49.4,49.4,49.4,22,163.0,2021-07-18 19:30:00,Celular,1,Online
R00000146,S20210002,A00295,2021,Matemática,Finalizado,57.5,57.5,57.49999999999999,28,173.0,2021-07-22 00:00:00,Não informado,1,Online
R00000147,S20210002,A00289,2021,Matemática,Finalizado,53.1,53.1,53.1,23,216.0,2021-11-28 12:00:00,Celular,3,Online
R00000148,S20210002,A00011,2021,Matemática,Finalizado,45.2,45.2,45.2,19,303.0,2021-10-18 14:45:00,Não informado,1,Não informado
R00000149,S20210002,A00227,2021,Matemática,Finalizado,58.3,58.3,58.3,27,181.0,2021-06-28 14:30:00,Papel,1,Centro
R00000150,S20210002,A00618,2021,Matemática,Finalizado,47.7,47.7,47.7,21,273.0,2021-04-01 13:15:00,Desktop,1,Não informado
R00000151,S20210002,A00582,2021,Matemática,Finalizado,55.5,55.5,55.50000000000001,25,197.0,2021-05-08 16:45:00,Celular,1,Aldeota
R00000152,S20210002,A00521,2021,Matemática,Finalizado,93.8,93.8,93.8,40,222.0,2021-09-20 19:00:00,Papel,3,Centro
R00000153,S20210002,A00275,2021,Matemática,Ausente,,,,,,2021-08-08 09:30:00,Celular,1,Centro
R00000154,S20210002,A00754,2021,Matemática,Ausente,,,,,,2021-04-11 09:00:00,Não informado,,Centro
R00000155,S20210002,A00798,2021,Matemática,Finalizado,85.5,85.5,85.5,38,197.0,2021-06-06 17:30:00,Tablet,1,Centro
R00000156,S20210002,A00241,2021,Matemática,Finalizado,68.8,68.8,68.8,30,257.0,2021-08-20 17:45:00,Papel,3,Online
R00000157,S20210002,A00356,2021,Matemática,Finalizado,39.8,39.8,39.8,18,247.0,2021-09-25 19:00:00,Celular,1,Online
R00000158,S20210002,A00652,2021,Matemática,Finalizado,55.5,55.5,55.50000000000001,24,295.0,2021-05-15 17:30:00,Celular,2,Online
R00000159,S20210002,A00698,2021,Matemática,Finalizado,40.2,40.2,40.2,19,168.0,2021-10-08 12:45:00,Desktop,1,Aldeota
R00000160,S20210002,A00132,2021,Matemática,Finalizado,54.9,54.9,54.89999999999999,23,214.0,2021-10-05 17:00:00,Desktop,3,Online
R00000161,S20210002,A00033,2021,Matemática,Ausente,,,,,,2021-04-05 16:00:00,Desktop,1,Centro
R00000162,S20210002,A00307,2021,Matemática,Finalizado,67.0,67.0,67.0,33,284.0,2021-06-28 11:15:00,Desktop,1,Não informado
R00000163,S20210002,A00103,2021,Matemática,Finalizado,71.7,71.7,71.7,30,183.0,2021-09-28 08:45:00,Papel,1,Centro
R00000164,S20210002,A00636,2021,Matemática,Finalizado,53.6,53.6,53.6,25,184.0,2021-05-21 11:00:00,Papel,3,Sul
R00000165,S20210002,A00775,2021,Matemática,Finalizado,89.6,89.6,89.6,38,222.0,2021-10-23 10:45:00,Celular,1,Online
R00000166,S20210002,A00487,2021,Matemática,Finalizado,78.0,78.0,78.0,35,115.0,2021-04-02 11:45:00,Papel,3,Aldeota
R00000167,S20210002,A00328,2021,Matemática,Finalizado,66.6,66.6,66.6,30,186.0,2021-07-10 10:00:00,Tablet,3,Não informado
R00000168,S20210002,A00536,2021,Matemática,Não informado,42.0,42.0,42.0,18,57.0,2021-04-16 17:15:00,Desktop,1,Online
R00000169,S20210002,A00526,2021,Matemática,Finalizado,65.4,65.4,65.4,26,279.0,2021-11-04 17:00:00,Desktop,1,Não informado
R00000170,S20210002,A00347,2021,Matemática,Finalizado,35.1,35.1,35.1,16,198.0,2021-04-09 15:15:00,Desktop,,Não informado
R00000171,S20210002,A00191,2021,Matemática,Finalizado,49.9,49.9,49.9,23,226.0,2021-07-24 17:45:00,Não informado,2,Online
R00000172,S20210002,A00346,2021,Matemática,Finalizado,93.5,93.5,93.5,41,223.0,2021-11-08 14:00:00,Desktop,2,Sul
R00000173,S20210002,A00413,2021,Matemática,Finalizado,74.8,74.8,74.8,33,257.0,2021-11-08 10:15:00,Não informado,1,Online
R00000174,S20210002,A00627,2021,Matemática,Incompleto,35.3,35.3,35.3,12,198.0,2021-08-18 11:15:00,Não informado,1,Sul
R00000175,S20210002,A00764,2021,Matemática,Finalizado,66.2,66.2,66.2,29,278.0,2021-07-19 15:30:00,Desktop,3,Online
R00000176,S20210002,A00144,2021,Matemática,Incompleto,55.8,55.8,55.8,27,199.0,2021-04-27 11:00:00,Desktop,1,Não informado
R00000177,S20210002,A00141,2021,Matemática,Ausente,,,,,,2021-06-10 00:00:00,Desktop,,Sul
R00000178,S20210002,A00550,2021,Matemática,Finalizado,51.1,51.1,51.1,27,228.0,2021-05-12 17:15:00,Desktop,,Sul
R00000179,S20210002,A00591,2021,Matemática,Finalizado,39.4,39.4,39.4,19,169.0,2021-11-02 08:15:00,Papel,,Online
R00000180,S20210002,A00199,2021,Matemática,Incompleto,47.2,47.2,47.2,21,275.0,2021-10-02 10:45:00,Papel,2,Online
R00000181,S20210002,A00120,2021,Matemática,Finalizado,45.8,45.8,45.8,20,150.0,2021-11-25 10:15:00,Não informado,2,Sul
R00000182,S20210002,A00174,2021,Matemática,Finalizado,49.0,49.0,49.0,20,154.0,2021-10-05 10:45:00,Celular,1,Online
R00000183,S20210002,A00578,2021,Matemática,Finalizado,78.2,78.2,78.2,36,231.0,2021-11-08 09:00:00,Não informado,1,Sul
R00000184,S20210002,A00057,2021,Matemática,Finalizado,82.9,82.9,82.9,34,183.0,2021-10-18 17:00:00,Desktop,3,Online
R00000185,S20210002,A00313,2021,Matemática,Finalizado,78.8,78.8,78.8,40,295.0,2021-09-21 13:45:00,Não informado,1,Online
R00000186,S20210002,A00382,2021,Matemática,Finalizado,54.5,54.5,54.50000000000001,23,214.0,2021-04-24 15:00:00,Celular,,Aldeota
R00000187,S20210002,A00750,2021,Matemática,Incompleto,81.6,81.6,81.6,39,155.0,2021-10-06 14:00:00,Papel,,Sul
R00000188,S20210002,A00294,2021,Matemática,Finalizado,62.9,62.9,62.9,27,179.0,2021-06-12 12:00:00,Celular,1,Online
R00000189,S20210002,A00353,2021,Matemática,Finalizado,79.5,79.5,79.5,39,181.0,2021-07-11 12:00:00,Tablet,2,Centro
R00000190,S20210002,A00288,2021,Matemática,Finalizado,19.6,19.6,19.6,10,240.0,2021-10-01 19:45:00,Tablet,1,Online
R00000191,S20210002,A00494,2021,Matemática,Finalizado,52.6,52.6,52.6,25,230.0,2021-08-26 08:45:00,Desktop,2,Centro
R00000192,S20210002,A00507,2021,Matemática,Finalizado,35.6,35.6,35.6,17,255.0,2021-11-26 14:30:00,Tablet,,Não informado
R00000193,S20210002,A00306,2021,Matemática,Finalizado,34.5,34.5,34.5,15,209.0,2021-06-25 08:00:00,Papel,1,Online
R00000194,S20210002,A00004,2021,Matemática,Finalizado,62.7,62.7,62.7,27,231.0,2021-05-11 15:15:00,Desktop,,Não informado
R00000195,S20210002,A00689,2021,Matemática,Finalizado,42.1,42.1,42.1,16,245.0,2021-09-28 09:30:00,Desktop,1,Online
R00000196,S20210002,A00078,2021,Matemática,Finalizado,79.9,79.9,79.9,34,238.0,2021-05-09 09:15:00,Celular,,Sul
R00000197,S20210002,A00742,2021,Matemática,Finalizado,71.7,71.7,71.7,33,200.0,2021-10-19 13:15:00,Tablet,1,Online
R00000198,S20210002,A00481,2021,Matemática,Finalizado,25.6,25.6,25.6,12,305.0,2021-09-04 09:15:00,Desktop,1,Online
R00000199,S20210002,A00102,2021,Matemática,Finalizado,54.1,54.1,54.1,26,208.0,2021-05-16 10:45:00,Tablet,2,Aldeota
R00000200,S20210002,A00443,2021,Matemática,Ausente,,,,,,2021-11-06 14:15:00,Celular,,Não informado
R00000201,S20210002,A00392,2021,Matemática,Finalizado,87.5,87.5,87.5,39,227.0,2021-05-22 13:30:00,Tablet,1,Online
